a	あ
g	い
f	う
d	え
s	お
n	ん
e	っ
ia	か
ig	き
if	く
id	け
is	こ
iz	かん
ib	きん
iv	くん
ic	けん
ix	こん
iq	かい
it	くい
ir	くう
ie	けい
iw	こう
i1	かー
i5	きー
i4	くー
i3	けー
i2	こー
iua	きゃ
iug	きぃ
iuf	きゅ
iud	きぇ
iud	きょ
iuz	きゃん
iub	きぃん
iuv	きゅん
iuc	きぇん
iux	きょん
iuq	きゃい
iut	きゅい
iur	きゅう
iue	きぇい
iuw	きょう
iu1	きゃー
iu5	きぃー
iu4	きゅー
iu3	きぇー
iu2	きょー
ika	くぁ
ikg	くぃ
ikf	くぅ
ikd	くぇ
iks	くぉ
ikz	くぁん
ikb	くぃん
ikv	くぅん
ikc	くぇん
ikx	くぉん
ikq	くぁい
ikt	くぅい
ikr	くぅう
ike	くぇい
ikw	くぉう
ik1	くぁー
ik5	くぃー
ik4	くぅー
ik3	くぇー
ik2	くぉー
ua	が
ug	ぎ
uf	ぐ
ud	げ
us	ご
uz	がん
ub	ぎん
uv	ぐん
uc	げん
ux	ごん
uq	がい
ut	ぐい
ur	ぐう
ue	げい
uw	ごう
u1	がー
u5	ぎー
u4	ぐー
u3	げー
u2	ごー
uoa	ぎゃ
uog	ぎぃ
uof	ぎゅ
uod	ぎぇ
uos	ぎょ
uoz	ぎゃん
uob	ぎぃん
uov	ぎゅん
uoc	ぎぇん
uox	ぎょん
uoq	ぎゃい
uot	ぎゅい
uor	ぎゅう
uoe	ぎぇい
uow	ぎょう
uo1	ぎゃー
uo5	ぎぃー
uo4	ぎゅー
uo3	ぎぇー
uo2	ぎょー
uja	ぐぁ
ujg	ぐぃ
ujf	ぐぅ
ujd	ぐぇ
ujs	ぐぉ
ujz	ぐぁん
ujb	ぐぃん
ujv	ぐぅん
ujc	ぐぇん
ujx	ぐぉん
ujq	ぐぁい
ujt	ぐぅい
ujr	ぐぅう
uje	ぐぇい
ujw	ぐぉう
uj1	ぐぁー
uj5	ぐぃー
uj4	ぐぅー
uj3	ぐぇー
uj2	ぐぉー
;a	さ
;g	し
;f	す
;d	せ
;s	そ
;z	さん
;b	しん
;v	すん
;c	せん
;x	そん
;q	さい
;t	すい
;r	すう
;e	せい
;w	そう
;1	さー
;5	しー
;4	すー
;3	せー
;2	そー
;ja	しゃ
;jg	しぃ
;jf	しゅ
;jd	しぇ
;js	しょ
;jz	しゃん
;jb	しぃん
;jv	しゅん
;jc	しぇん
;jx	しょん
;jq	しゃい
;jt	しゅい
;jr	しゅう
;je	しぇい
;jw	しょう
;j1	しゃー
;j5	しぃー
;j4	しゅー
;j3	しぇー
;j2	しょー
;/a	すぁ
;/g	すぃ
;/f	すゅ
;/d	すぇ
;/s	すぉ
;/z	すぁん
;/b	すぃん
;/v	すゅん
;/c	すぇん
;/x	すぉん
;/q	すぁい
;/t	すゅい
;/r	すゅう
;/e	すぇい
;/w	すぉう
;/1	すぁー
;/5	すぃー
;/4	すゅー
;/3	すぇー
;/2	すぉー
/a	ざ
/g	じ
/f	ず
/d	ぜ
/s	ぞ
/z	ざん
/b	じん
/v	ずん
/c	ぜん
/x	ぞん
/q	ざい
/t	ずい
/r	ずう
/e	ぜい
/w	ぞう
/1	ざー
/5	じー
/4	ずー
/3	ぜー
/2	ぞー
/ma	じゃ
/mg	じぃ
/mf	じゅ
/md	じぇ
/ms	じょ
/mz	じゃん
/mb	じぃん
/mv	じゅん
/mc	じぇん
/mx	じょん
/mq	じゃい
/mt	じゅい
/mr	じゅう
/me	じぇい
/mw	じょう
/m1	じゃー
/m5	じぃー
/m4	じゅー
/m3	じぇー
/m2	じょー
/;a	ずぁ
/;g	ずぃ
/;f	ずゅ
/;d	ずぇ
/;s	ずぉ
/;z	ずぁん
/;b	ずぃん
/;v	ずゅん
/;c	ずぇん
/;x	ずぉん
/;q	ずぁい
/;t	ずゅい
/;r	ずゅう
/;e	ずぇい
/;w	ずぉう
/;1	ずぁー
/;5	ずぃー
/;4	ずゅー
/;3	ずぇー
/;2	ずぉー
ka	た
kg	ち
kf	つ
kd	て
ks	と
kz	たん
kb	ちん
kv	つん
kc	てん
kx	とん
kq	たい
kt	つい
kr	つう
ke	てい
kw	とう
k1	たー
k5	ちー
k4	つー
k3	てー
k2	とー
kja	ちゃ
kjg	ちぃ
kjf	ちゅ
kjd	ちぇ
kjs	ちょ
kjz	ちゃん
kjb	ちぃん
kjv	ちゅん
kjc	ちぇん
kjx	ちょん
kjq	ちゃい
kjt	ちゅい
kjr	ちゅう
kje	ちぇい
kjw	ちょう
kj1	ちゃー
kj5	ちぃー
kj4	ちゅー
kj3	ちぇー
kj2	ちょー
k,a	てゃ
k,g	てぃ
k,f	てゅ
k,d	てぇ
k,s	てょ
k,z	てゃん
k,b	てぃん
k,v	てゅん
k,c	てぇん
k,x	てょん
k,q	てゃい
k,t	てゅい
k,r	てゅう
k,e	てぇい
k,w	てょう
k,1	てゃー
k,5	てぃー
k,4	てゅー
k,3	てぇー
k,2	てょー
kia	つぁ
kig	つぃ
kif	とぅ
kid	つぇ
kis	つぉ
kiz	つぁん
kib	つぃん
kiv	とぅん
kic	つぇん
kix	つぉん
kiq	つぁい
kit	とぅい
kir	とぅう
kie	つぇい
kiw	つぉう
ki1	つぁー
ki5	つぃー
ki4	とぅー
ki3	つぇー
ki2	つぉー
ja	だ
jg	ぢ
jf	づ
jd	で
js	ど
jz	だん
jb	ぢん
jv	づん
jc	でん
jx	どん
jq	だい
jt	づい
jr	づう
je	でい
jw	どう
j1	だー
j5	ぢー
j4	づー
j3	でー
j2	どー
jla	ぢゃ
jlg	ぢぃ
jlf	ぢゅ
jld	ぢぇ
jls	ぢょ
jlz	ぢゃん
jlb	ぢぃん
jlv	ぢゅん
jlc	ぢぇん
jlx	ぢょん
jlq	ぢゃい
jlt	ぢゅい
jlr	ぢゅう
jle	ぢぇい
jlw	ぢょう
jl1	ぢゃー
jl5	ぢぃー
jl4	ぢゅー
jl3	ぢぇー
jl2	ぢょー
jma	でゃ
jmg	でぃ
jmf	でゅ
jmd	でぇ
jms	でょ
jmz	でゃん
jmb	でぃん
jmv	でゅん
jmc	でぇん
jmx	でょん
jmq	でゃい
jmt	でゅい
jmr	でゅう
jme	でぇい
jmw	でょう
jm1	でゃー
jm5	でぃー
jm4	でゅー
jm3	でぇー
jm2	でょー
jua	づぁ
jug	づぃ
juf	どぅ
jud	づぇ
jus	づぉ
juz	づぁん
jub	づぃん
juv	どぅん
juc	づぇん
jux	づぉん
juq	づぁい
jut	どぅい
jur	どぅう
jue	づぇい
juw	づぉう
ju1	づぁー
ju5	づぃー
ju4	どぅー
ju3	づぇー
ju2	づぉー
la	な
lg	に
lf	ぬ
ld	ね
ls	の
lz	なん
lb	にん
lv	ぬん
lc	ねん
lx	のん
lq	ない
lt	ぬい
lr	ぬう
le	ねい
lw	のう
l1	なー
l5	にー
l4	ぬー
l3	ねー
l2	のー
lja	にゃ
ljg	にぃ
ljf	にゅ
ljd	にぇ
ljs	にょ
ljz	にゃん
ljb	にぃん
ljv	にゅん
ljc	にぇん
ljx	にょん
ljq	にゃい
ljt	にゅい
ljr	にゅう
lje	にぇい
ljw	にょう
lj1	にゃー
lj5	にぃー
lj4	にゅー
lj3	にぇー
lj2	にょー
l.a	ぬぁ
l.g	ぬぃ
l.f	ぬぅ
l.d	ぬぇ
l.s	ぬぉ
l.z	ぬぁん
l.b	ぬぃん
l.v	ぬぅん
l.c	ぬぇん
l.x	ぬぉん
l.q	ぬぁい
l.t	ぬぅい
l.r	ぬぅう
l.e	ぬぇい
l.w	ぬぉう
l.1	ぬぁー
l.5	ぬぃー
l.4	ぬぅー
l.3	ぬぇー
l.2	ぬぉー
,a	は
,g	ひ
,f	ふ
,d	へ
,s	ほ
,z	はん
,b	ひん
,v	ふん
,c	へん
,x	ほん
,q	はい
,t	ふい
,r	ふう
,e	へい
,w	ほう
,1	はー
,5	ひー
,4	ふー
,3	へー
,2	ほー
,ma	ひゃ
,mg	ひぃ
,mf	ひゅ
,md	ひぇ
,ms	ひょ
,mz	ひゃん
,mb	ひぃん
,mv	ひゅん
,mc	ひぇん
,mx	ひょん
,mq	ひゃい
,mt	ひゅい
,mr	ひゅう
,me	ひぇい
,mw	ひょう
,m1	ひゃー
,m5	ひぃー
,m4	ひゅー
,m3	ひぇー
,m2	ひょー
,ka	ふぁ
,kg	ふぃ
,kf	ふゅ
,kd	ふぇ
,ks	ふぉ
,kz	ふぁん
,kb	ふぃん
,kv	ふゅん
,kc	ふぇん
,kx	ふぉん
,kq	ふぁい
,kt	ふゅい
,kr	ふゅう
,ke	ふぇい
,kw	ふぉう
,k1	ふぁー
,k5	ふぃー
,k4	ふゅー
,k3	ふぇー
,k2	ふぉー
.a	ば
.g	び
.f	ぶ
.d	べ
.s	ぼ
.z	ばん
.b	びん
.v	ぶん
.c	べん
.x	ぼん
.q	ばい
.t	ぶい
.r	ぶう
.e	べい
.w	ぼう
.1	ばー
.5	びー
.4	ぶー
.3	べー
.2	ぼー
.ma	びゃ
.mg	びぃ
.mf	びゅ
.md	びぇ
.ms	びょ
.mz	びゃん
.mb	びぃん
.mv	びゅん
.mc	びぇん
.mx	びょん
.mq	びゃい
.mt	びゅい
.mr	びゅう
.me	びぇい
.mw	びょう
.m1	びゃー
.m5	びぃー
.m4	びゅー
.m3	びぇー
.m2	びょー
.la	ぶぁ
.lg	ぶぃ
.lf	ぶぅ
.ld	ぶぇ
.ls	ぶぉ
.lz	ぶぁん
.lb	ぶぃん
.lv	ぶぅん
.lc	ぶぇん
.lx	ぶぉん
.lq	ぶぁい
.lt	ぶぅい
.lr	ぶぅう
.le	ぶぇい
.lw	ぶぉう
.l1	ぶぁー
.l5	ぶぃー
.l4	ぶぅー
.l3	ぶぇー
.l2	ぶぉー
pa	ぱ
pg	ぴ
pf	ぷ
pd	ぺ
ps	ぽ
pz	ぱん
pb	ぴん
pv	ぷん
pc	ぺん
px	ぽん
pq	ぱい
pt	ぷい
pr	ぷう
pe	ぺい
pw	ぽう
p1	ぱー
p5	ぴー
p4	ぷー
p3	ぺー
p2	ぽー
pua	ぴゃ
pug	ぴぃ
puf	ぴゅ
pud	ぴぇ
pus	ぴょ
puz	ぴゃん
pub	ぴぃん
puv	ぴゅん
